Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Derrick Henry*+,RB,26,16,3,333.1,184,HenrDe00
Alvin Kamara*,RB,25,15,1,377.8,165,KamaAl00
Dalvin Cook*,RB,25,14,5,337.8,164,CookDa01
Davante Adams*+,WR,28,14,1,358.4,117,AdamDa01
Travis Kelce*+,TE,31,15,1,312.8,117,KelcTr00
Tyreek Hill*+,WR,26,15,1,328.9,116,HillTy00
Josh Allen*,QB,24,16,9,396.1,113,AlleJo02
Aaron Rodgers*+,QB,37,16,4,383.3,100,RodgAa00
Kyler Murray*,QB,23,16,9,378.7,96,MurrKy00
Patrick Mahomes*,QB,25,15,5,374.4,92,MahoPa00
Deshaun Watson*,QB,25,16,8,369.3,87,WatsDe00
Jonathan Taylor,RB,21,15,1,252.8,87,TaylJo02
Aaron Jones*,RB,26,14,2,258.9,82,JoneAa00
David Montgomery,RB,23,15,1,264.8,81,MontDa01
Darren Waller*,TE,28,16,2,278.6,81,WallDa01
Russell Wilson*,QB,32,16,7,359.8,77,WilsRu00
Stefon Diggs*+,WR,27,16,0,328.6,75,DiggSt00
James Robinson,RB,22,14,3,250.4,71,RobiJa00
Josh Jacobs*,RB,22,15,2,231.3,68,JacoJo01
Calvin Ridley,WR,26,15,1,281.5,65,RidlCa00
Nick Chubb*,RB,25,12,1,207.7,62,ChubNi00
D.K. Metcalf*,WR,23,16,1,271.3,62,MetcDK00
Ryan Tannehill,QB,32,16,6,344.4,61,TannRy00
Justin Jefferson*,WR,21,16,1,274.2,60,JeffJu00
Taysom Hill,TE,30,16,10,156.6,58,HillTa00
Tom Brady,QB,43,16,4,337.9,55,BradTo00
Adam Thielen,WR,30,15,0,254.0,54,ThieAd00
Mike Evans,WR,27,16,0,248.6,52,EvanMi00
A.J. Brown*,WR,23,14,2,247.5,51,BrowAJ00
Justin Herbert,QB,22,15,8,332.8,50,HerbJu00
Lamar Jackson,QB,23,15,10,332.8,50,JackLa00
Kareem Hunt,RB,25,16,2,218.5,50,HuntKa00
DeAndre Hopkins*,WR,28,16,3,287.8,46,HopkDe00
Ezekiel Elliott,RB,25,15,6,223.7,42,ElliEz00
Tyler Lockett,WR,28,16,1,265.4,39,LockTy00
Kenyan Drake,RB,26,15,3,192.2,37,DrakKe00
Antonio Gibson,RB,22,14,1,202.2,36,GibsAn00
Melvin Gordon,RB,27,15,4,198.4,36,GordMe00
Allen Robinson,WR,27,16,0,262.9,35,RobiAl02
Robert Tonyan,TE,26,16,0,176.6,34,TonyRo00
Robert Woods,WR,28,16,2,245.1,29,WoodRo02
Ronald Jones II,RB,23,14,2,186.3,28,JoneRo01
Chase Claypool,WR,22,16,3,214.9,27,ClayCh01
Marvin Jones,WR,30,16,0,227.8,25,JoneMa02
Brandin Cooks,WR,27,15,0,232.0,25,CookBr00
Kirk Cousins,QB,32,16,9,306.2,24,CousKi00
Mark Andrews,TE,25,14,2,170.1,22,AndrMa00
Chris Carson,RB,26,12,1,187.8,21,CarsCh00
J.K. Dobbins,RB,22,15,2,168.5,20,DobbJK00
D.J. Moore,WR,23,15,0,211.5,19,MoorD.00
Keenan Allen*,WR,28,14,3,245.1,19,AlleKe00
Amari Cooper,WR,26,16,0,236.8,18,CoopAm00
T.J. Hockenson*,TE,23,16,1,175.3,18,HockTJ00
Mike Davis,RB,27,15,1,206.5,17,DaviMi01
CeeDee Lamb,WR,21,16,2,217.7,17,LambCe00
David Johnson,RB,29,12,2,179.5,16,JohnDa08
Mike Gesicki,TE,25,15,0,159.3,16,GesiMi00
D'Andre Swift,RB,21,13,3,189.8,14,SwifDA00
Logan Thomas,TE,29,16,0,176.6,14,ThomLo00
Rob Gronkowski,TE,31,16,1,149.3,14,GronRo00
Miles Sanders,RB,23,12,4,170.4,12,SandMi01
Nelson Agholor,WR,27,16,0,185.6,11,AghoNe00
JuJu Smith-Schuster,WR,24,16,3,234.1,11,SmitJu00
Clyde Edwards-Helaire,RB,21,13,0,176.0,10,EdwaCl00
Terry McLaurin,WR,25,15,1,223.8,10,McLaTe00
Will Fuller,WR,26,11,0,188.9,10,FullWi01
Curtis Samuel,WR,24,15,1,212.1,9,SamuCu00
Jonnu Smith,TE,25,15,0,140.2,9,SmitJo01
Todd Gurley,RB,26,15,2,163.2,8,GurlTo01
Diontae Johnson,WR,24,15,2,221.8,7,JohnDi01
Robbie Chosen,WR,27,16,1,224.1,3,AndeRo04
Jimmy Graham,TE,34,16,1,143.6,3,GrahJi00
Hayden Hurst,TE,27,16,0,149.1,3,HursHa00
Tee Higgins,WR,21,16,1,194.6,1,HiggTe00
Matt Ryan,QB,35,16,6,282.4,,RyanMa00
Derek Carr,QB,29,16,11,272.1,,CarrDe02
Ben Roethlisberger,QB,38,15,5,267.2,,RoetBe00
Matthew Stafford,QB,32,16,2,260.6,,StafMa00
Cam Newton,QB,31,15,6,261.0,,NewtCa00
Baker Mayfield,QB,25,16,8,248.6,,MayfBa00
Teddy Bridgewater,QB,28,15,6,241.2,,BridTe00
Jared Goff,QB,26,15,7,240.0,,GoffJa00
Philip Rivers,QB,39,16,2,240.0,,RivePh00
Drew Brees,QB,41,12,6,209.5,,BreeDr00
Carson Wentz,QB,28,12,10,198.4,,WentCa00
Drew Lock,QB,24,13,8,181.3,,LockDr00
Daniel Jones,QB,23,14,10,180.0,,JoneDa05
Joe Burrow,QB,24,10,9,173.7,,BurrJo01
Gardner Minshew II,QB,24,9,5,160.7,,MinsGa00
Mitchell Trubisky,QB,26,10,6,153.7,,TrubMi00
Ryan Fitzpatrick,QB,38,9,2,153.7,,FitzRy00
Andy Dalton,QB,33,11,2,136.9,,DaltAn00
Dak Prescott,QB,27,5,3,135.6,,PresDa01
Tua Tagovailoa,QB,22,10,1,135.5,,TagoTu00
Sam Darnold,QB,23,12,4,134.0,,DarnSa00
James Conner,RB,25,13,2,164.6,,ConnJa00
Nyheim Hines,RB,24,16,0,193.2,,HineNy00
Jeff Wilson,RB,25,12,2,142.3,,WilsJe01
Cole Beasley,WR,31,15,0,207.5,,BeasCo00
Corey Davis,WR,25,14,1,191.4,,DaviCo03
Chris Godwin,WR,24,12,1,191.0,,GodwCh00
Brandon Aiyuk,WR,22,12,0,184.5,,AiyuBr00
Marquise Brown,WR,23,16,0,183.0,,BrowMa04
Myles Gaskin,RB,23,10,2,164.2,,GaskMy00
Gus Edwards,RB,25,16,1,128.2,,EdwaGu00
Cooper Kupp,WR,27,15,1,208.7,,KuppCo00
Wayne Gallman,RB,26,15,1,136.6,,GallWa00
Jarvis Landry,WR,28,15,2,188.0,,LandJa00
Nick Mullens,QB,25,10,6,116.3,,MullNi00
Chase Edmonds,RB,24,16,2,168.0,,EdmoCh00
Tyler Boyd,WR,26,15,1,192.6,,BoydTy00
Michael Gallup,WR,24,16,0,173.3,,GallMi00
Darrell Henderson,RB,23,15,0,130.3,,HendDa00
Jamison Crowder,WR,27,12,0,172.0,,CrowJa00
Latavius Murray,RB,30,15,1,136.2,,MurrLa00
Adrian Peterson,RB,35,16,0,124.5,,PeteAd01
Giovani Bernard,RB,29,16,1,158.1,,BernGi00
Austin Ekeler,RB,25,10,1,165.3,,EkelAu00
J.D. McKissic,RB,27,16,3,191.4,,McKiJ.00
Tim Patrick,WR,27,15,0,161.2,,PatrTi00
Russell Gage,WR,24,16,0,181.1,,GageRu00
T.Y. Hilton,WR,31,15,0,164.2,,HiltT.00
Jalen Hurts,QB,22,15,9,109.1,,HurtJa00
Jerry Jeudy,WR,21,16,2,157.6,,JeudJe00
Devin Singletary,RB,23,16,1,143.6,,SingDe00
Mike Williams,WR,26,15,0,153.7,,WillMi07
Nick Foles,QB,31,9,2,104.2,,FoleNi00
Emmanuel Sanders,WR,33,14,1,164.8,,SandEm00
Marquez Valdes-Scantling,WR,26,16,1,137.3,,ValdMa00
DeVante Parker,WR,27,14,1,166.3,,ParkDe01
Gabriel Davis,WR,21,16,1,136.9,,DaviGa01
DJ Chark,WR,24,13,0,153.6,,CharDJ00
Keelan Cole,WR,27,16,0,155.4,,ColeKe00
Laviska Shenault Jr.,WR,22,14,0,157.1,,ShenLa00
Christian Kirk,WR,24,14,1,146.4,,KirkCh01
Sterling Shepard,WR,27,12,0,162.5,,ShepSt00
Leonard Fournette,RB,25,13,0,132.0,,FourLe00
Jamaal Williams,RB,25,14,0,127.1,,WillJa06
Julio Jones,WR,31,9,0,146.1,,JoneJu02
Jerick McKinnon,RB,28,16,0,126.2,,McKiJe00
Zach Pascal,WR,26,16,0,136.9,,PascZa00
Tony Pollard,RB,23,16,0,120.8,,PollTo00
Cam Akers,RB,21,13,1,101.8,,AkerCa00
Darnell Mooney,WR,23,16,1,152.1,,MoonDa00
Darius Slayton,WR,23,16,1,141.0,,SlayDa01
Jared Cook,TE,33,15,1,127.4,,CookJa02
Zack Moss,RB,23,13,0,101.6,,MossZa00
Noah Fant,TE,23,15,0,149.3,,FantNo00
Mecole Hardman,WR,22,16,2,128.1,,HardMe00
Malcolm Brown,RB,27,16,1,109.1,,BrowMa03
Eric Ebron,TE,27,15,1,141.8,,EbroEr00
Damien Harris,RB,23,10,1,91.3,,HarrDa06
Hunter Henry,TE,26,14,0,145.3,,HenrHu00
Frank Gore,RB,37,15,1,100.2,,GoreFr00
Tyler Higbee,TE,27,15,0,128.2,,HigbTy00
Rashard Higgins,WR,26,13,3,120.9,,HiggRa00
Jakobi Meyers,WR,24,14,1,142.5,,MeyeJa01
David Moore,WR,25,16,1,118.8,,MoorDa03
Raheem Mostert,RB,28,8,1,99.7,,MostRa00
Dalton Schultz,TE,24,16,1,146.5,,SchuDa00
Rex Burkhead,RB,30,10,0,107.6,,BurkRe00
Kendrick Bourne,WR,25,15,0,129.7,,BourKe00
Greg Ward,WR,25,16,2,133.1,,WardGr02
Joe Mixon,RB,24,6,1,99.6,,MixoJo00
Evan Engram*,TE,26,16,1,141.0,,EngrEv00
Travis Fulgham,WR,25,13,0,115.9,,FulgTr00
George Kittle,TE,27,8,0,125.1,,KittGe00
Hunter Renfrow,WR,25,16,2,131.6,,RenfHu00
Alexander Mattison,RB,22,13,0,86.9,,MattAl01
