Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Taylor Heinicke,QB,29,9,7,116.0,,HeinTa00
Allen Lazard,WR,27,15,0,174.8,,LazaAl00
George Pickens,WR,21,17,0,166.5,,PickGe00
Mike Williams,WR,28,13,0,176.5,,WillMi07
Jakobi Meyers,WR,26,14,2,180.3,,MeyeJa01
Carson Wentz,QB,30,8,6,112.8,,WentCa00
Curtis Samuel,WR,26,17,1,176.3,,SamuCu00
Deebo Samuel,WR,26,13,3,168.4,,SamuDe00
Adam Thielen,WR,32,17,0,180.0,,ThieAd00
Tyler Boyd,WR,28,16,0,167.1,,BoydTy00
Khalil Herbert,RB,24,13,0,117.8,,HerbKh00
Matthew Stafford,QB,34,9,5,108.4,,StafMa00
Drake London,WR,21,17,3,178.6,,LondDr00
JuJu Smith-Schuster,WR,26,16,3,185.3,,SmitJu00
Donovan Peoples-Jones,WR,23,17,1,167.1,,PeopDo00
Brock Purdy,QB,23,9,0,106.3,,PurdBr00
Samaje Perine,RB,27,16,0,142.1,,PeriSa00
Brian Robinson Jr.,RB,23,12,2,112.7,,RobiBr01
Keenan Allen,WR,30,10,1,164.0,,AlleKe00
Zach Wilson,QB,23,9,1,98.9,,WilsZa00
Mack Hollins,WR,29,17,0,154.2,,HollMa00
Josh Palmer,WR,23,16,1,169.3,,PalmJo00
Jahan Dotson,WR,22,12,0,130.6,,DotsJa00
Breece Hall,RB,21,7,1,115.1,,HallBr03
K.J. Osborn,WR,25,17,1,155.6,,OsboKJ00
Diontae Johnson,WR,26,17,1,180.7,,JohnDi01
Courtland Sutton,WR,27,15,0,159.4,,SuttCo00
Kareem Hunt,RB,27,17,1,126.8,,HuntKa00
Marquise Brown,WR,25,12,1,156.0,,BrowMa04
Brandin Cooks,WR,29,13,0,145.6,,CookBr00
Rachaad White,RB,23,17,3,139.1,,WhitRa01
DeAndre Hopkins,WR,30,9,2,151.7,,HopkDe00
Kenyan Drake,RB,28,12,1,104.1,,DrakKe00
Parris Campbell,WR,25,17,1,149.1,,CampPa00
Sam Darnold,QB,25,6,6,86.3,,DarnSa00
Dalton Schultz,TE,26,15,1,142.7,,SchuDa00
Deshaun Watson,QB,27,6,1,85.6,,WatsDe00
Michael Carter,RB,23,16,2,126.0,,CartMi03
James Cook,RB,23,16,1,105.7,,CookJa01
Pat Freiermuth,TE,24,16,0,148.2,,FreiPa00
David Njoku,TE,26,14,1,142.0,,NjokDa00
Gerald Everett,TE,28,16,0,139.5,,EverGe00
Darius Slayton,WR,25,16,2,128.4,,SlayDa01
Clyde Edwards-Helaire,RB,23,10,0,98.3,,EdwaCl00
Jordan Akins,TE,30,15,1,116.5,,AkinJo00
Tyler Higbee,TE,29,17,0,152.0,,HigbTy00
Marquez Valdes-Scantling,WR,28,17,0,122.4,,ValdMa00
Devin Duvernay*,WR,25,14,1,116.1,,DuveDe00
Isaiah McKenzie,WR,27,15,0,119.8,,McKeIs00
James Robinson,RB,24,11,1,88.6,,RobiJa00
Richie James,WR,27,17,3,132.5,,JameRi00
Tyler Conklin,TE,27,17,2,131.5,,ConkTy00
J.K. Dobbins,RB,24,8,0,81.2,,DobbJK00
Damien Harris,RB,25,11,0,90.9,,HarrDa06
Chuba Hubbard,RB,23,15,2,87.7,,HubbCh01
Mitchell Trubisky,QB,28,7,0,73.9,,TrubMi00
Noah Fant,TE,25,17,0,122.6,,FantNo00
Russell Gage,WR,26,13,1,123.6,,GageRu00
Alexander Mattison,RB,24,17,0,88.4,,MattAl01
Rashid Shaheed,WR,24,12,1,100.5,,ShahRa00
Noah Brown,WR,26,16,1,114.5,,BrowNo00
DeVante Parker,WR,29,13,0,102.9,,ParkDe01
Marvin Jones,WR,32,16,0,116.9,,JoneMa02
Alec Pierce,WR,22,16,1,112.3,,PierAl00
Olamide Zaccheaus,WR,25,17,1,110.0,,ZaccOl01
Zach Ertz,TE,32,10,0,115.6,,ErtzZa00
Mecole Hardman,WR,24,8,1,93.8,,HardMe00
Kalif Raymond,WR,28,17,3,116.2,,RaymKa00
DJ Chark,WR,26,11,0,98.2,,CharDJ00
Chris Moore,WR,29,16,0,115.1,,MoorCh00
DeAndre Carter,WR,29,17,3,112.3,,CartDe02
Corey Davis,WR,27,13,0,97.6,,DaviCo03
Michael Gallup,WR,26,14,0,105.4,,GallMi00
Mike Gesicki,TE,27,17,0,98.2,,GesiMi00
Josh Reynolds,WR,27,14,0,103.9,,ReynJo00
Eno Benjamin,RB,23,15,0,89.6,,BenjEn00
Kenneth Gainwell,RB,23,17,0,87.9,,GainKe00
Chigoziem Okonkwo,TE,23,17,0,97.2,,OkonCh00
Jaylen Warren,RB,24,16,1,93.3,,WarrJa01
Marquise Goodwin,WR,32,13,0,90.2,,GoodMa00
Hunter Henry,TE,28,17,0,103.9,,HenrHu00
Isaiah Hodgins,WR,24,10,1,100.2,,HodgIs00
Robert Woods,WR,30,17,1,115.7,,WoodRo02
Melvin Gordon,RB,29,10,5,87.1,,GordMe00
Darnell Mooney,WR,25,12,0,101.5,,MoonDa00
Treylon Burks,WR,22,11,0,94.1,,BurkTr00
Greg Dortch,WR,24,16,1,113.1,,DortGr01
Nico Collins,WR,23,10,0,97.1,,CollNi00
Romeo Doubs,WR,22,13,2,101.6,,DoubRo00
Chase Claypool,WR,24,15,1,105.0,,ClayCh01
Gus Edwards,RB,27,9,1,59.3,,EdwaGu00
Robert Tonyan,TE,28,17,0,112.0,,TonyRo00
Chase Edmonds,RB,26,13,0,74.2,,EdmoCh00
Nick Westbrook-Ikhine,WR,25,17,0,82.7,,WestNi00
Darrell Henderson,RB,25,10,0,73.5,,HendDa00
Cooper Rush,QB,29,9,2,56.6,,RushCo00
Darren Waller,TE,30,9,0,84.8,,WallDa01
Mike White,QB,27,4,2,56.6,,WhitMi01
Dontrell Hilliard,RB,27,12,0,77.2,,HillDo00
Austin Hooper,TE,28,17,0,97.4,,HoopAu00
Demarcus Robinson,WR,28,17,2,103.8,,RobiDe01
Deon Jackson,RB,23,16,1,84.5,,JackDe02
Van Jefferson,WR,26,11,0,78.9,,JeffVa00
Isaiah Likely,TE,22,16,0,91.3,,LikeIs00
Terrace Marshall Jr.,WR,22,14,2,83.0,,MarsTe00
Zack Moss,RB,25,13,1,64.5,,MossZa00
Trent Sherfield,WR,26,17,0,83.7,,SherTr00
Kendrick Bourne,WR,27,16,2,88.3,,BourKe00
Will Dissly,TE,26,15,0,86.9,,DissWi00
Greg Dulcich,TE,22,10,0,86.1,,DulcGr00
Hayden Hurst,TE,29,13,0,105.4,,HursHa00
Foster Moreau,TE,25,15,1,85.2,,MoreFo00
Allen Robinson,WR,29,10,0,84.9,,RobiAl02
