Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Christian McCaffrey*+,RB,23,16,1,471.2,215,McCaCh01
Lamar Jackson*+,QB,22,15,9,415.7,152,JackLa00
Derrick Henry*,RB,25,15,5,294.6,136,HenrDe00
Aaron Jones,RB,25,16,3,314.8,125,JoneAa00
Ezekiel Elliott*,RB,24,16,3,311.7,117,ElliEz00
Dalvin Cook*,RB,24,14,4,292.4,99,CookDa01
Michael Thomas*+,WR,26,16,1,374.6,97,ThomMi05
Travis Kelce*,TE,30,16,1,254.3,80,KelcTr00
Nick Chubb*,RB,24,16,3,255.2,79,ChubNi00
Mark Ingram*,RB,30,15,2,242.5,76,IngrMa01
Austin Ekeler,RB,24,16,3,309.0,76,EkelAu00
Dak Prescott,QB,26,16,6,337.8,74,PresDa01
Mark Andrews*,TE,24,15,2,207.2,66,AndrMa00
Russell Wilson*,QB,31,16,8,328.6,65,WilsRu00
Chris Godwin*,WR,23,14,0,276.1,61,GodwCh00
George Kittle*+,TE,26,14,1,222.5,61,KittGe00
Deshaun Watson*,QB,24,15,10,321.0,56,WatsDe00
Chris Carson,RB,25,15,7,232.6,55,CarsCh00
Kenny Golladay*,WR,26,16,1,248.0,54,GollKe00
Darren Waller,TE,27,16,1,221.0,54,WallDa01
Saquon Barkley,RB,22,13,1,244.1,52,BarkSa00
Zach Ertz*,TE,29,15,1,215.6,51,ErtzZa00
Joe Mixon,RB,23,16,0,225.4,50,MixoJo00
Todd Gurley,RB,25,15,3,219.4,48,GurlTo01
Jared Cook*,TE,32,14,0,167.5,48,CookJa02
Cooper Kupp,WR,26,16,3,270.5,47,KuppCo00
Julio Jones*,WR,30,15,1,274.1,46,JoneJu02
DeVante Parker,WR,26,16,0,246.2,45,ParkDe01
Leonard Fournette,RB,24,15,1,259.4,43,FourLe00
Jameis Winston,QB,25,16,12,305.4,42,WinsJa00
Austin Hooper*,TE,25,13,0,191.7,40,HoopAu00
Amari Cooper*,WR,25,16,0,246.5,38,CoopAm00
Mike Evans*,WR,26,13,0,232.7,37,EvanMi00
