,,,Game,Fumb,Fant,Fant,-additional
Scott Miller,WR,24,9,0,19.1,,MillSc01
Ty Montgomery,WR,28,14,0,29.9,,MontTy01
P.J. Walker,QB,26,5,3,13.8,,WalkPh00
Wayne Gallman,RB,27,8,0,13.5,,GallWa00
Chris Manhertz,TE,29,17,0,19.1,,ManhCh00
Sean Mannion,QB,29,1,0,13.0,,MannSe00
Denzel Mims,WR,24,11,0,21.3,,MimsDe00
Patrick Ricard*,FB,27,13,0,20.7,,RicaPa00
Ben Skowronek,WR,24,14,0,24.3,,SkowBe00
Lee Smith,TE,34,16,0,21.5,,SmitLe00
Kenny Stills,WR,29,13,0,18.9,,StilKe00
Michael Burton,FB,29,16,0,14.7,,BurtMi00
Jacob Hollister,TE,28,7,0,20.5,,HollJa03
Brian Hoyer,QB,36,5,0,12.3,,HoyeBr00
Jesse James,TE,27,14,0,19.2,,JameJe00
Joshua Kelley,RB,24,10,1,17.0,,KellJo01
Tom Kennedy,WR,25,12,0,18.4,,KennTo01
Antony Auclair,TE,28,16,0,15.7,,AuclAn00
Phillip Dorsett,WR,28,6,0,18.0,,DorsPh00
Ross Dwelley,TE,26,17,0,15.1,,DwelRo00
Dez Fitzpatrick,WR,24,4,0,15.9,,FitzDe00
Jake Fromm,QB,23,3,2,10.9,,FromJa00
Kylen Granson,TE,23,17,0,21.6,,GranKy00
Collin Johnson,WR,24,12,0,21.5,,JohnCo01
Marlon Mack,RB,25,6,0,12.9,,MackMa00
Jalen Richard,RB,28,10,0,23.2,,RichJa01
Eric Saubert,TE,27,17,0,18.7,,SaubEr00
Adam Shaheen,TE,27,12,0,23.0,,ShahAd00
Jeff Smith,WR,24,12,0,19.2,,SmitJe03
Benny Snell Jr.,RB,23,17,0,13.1,,SnelBe00
Equanimeous St. Brown,WR,25,13,0,20.2,,St.BEq00
Ryquell Armstead,RB,25,2,0,12.6,,ArmsRy00
Blake Bell,TE,30,16,0,18.7,,BellBl00
Trinity Benson,WR,24,8,0,20.3,,BensTr00
Noah Gray,TE,22,16,0,16.6,,GrayNo00
Chris Herndon,TE,25,16,0,14.0,,HernCh00
Chris Hogan,WR,34,5,0,14.1,,HogaCh00
Nick Mullens,QB,26,1,0,9.9,,MullNi00
Shi Smith,WR,23,6,0,16.1,,SmitSh03
Tommy Sweeney,TE,26,13,1,19.4,,SweeTo00
Auden Tate,WR,24,7,0,12.9,,TateAu00
Cameron Batson,WR,26,4,0,11.0,,BatsCa00
Josh Gordon,WR,30,12,0,14.2,,GordJo02
JaQuan Hardy,RB,24,3,0,8.9,,HardJa01
Deon Jackson,RB,22,9,0,9.1,,JackDe02
Andy Janovich,RB,28,13,0,11.9,,JanoAn00
Sean McKeon,TE,24,9,0,12.7,,McKeSe01
Anthony Miller,WR,27,3,0,14.5,,MillAn02
Keith Smith,FB,29,17,0,17.7,,SmitKe03
Kyle Allen,QB,25,2,1,7.9,,AlleKy00
Alex Armah,FB,27,11,0,9.2,,ArmaAl00
Garrett Gilbert,QB,30,1,1,7.8,,GilbGa01
Tyree Jackson,TE,24,9,0,11.2,,JackTy01
Chris Myarick,FB,26,8,0,10.7,,MyarCh00
Dezmon Patmon,WR,23,8,0,10.1,,PatmDe00
Drew Sample,TE,25,17,0,19.1,,SampDr00
Mitchell Trubisky,QB,27,6,0,8.1,,TrubMi00
Preston Williams,WR,24,8,0,13.8,,WillPr01
KJ Hamler,WR,22,3,0,12.4,,HamlKJ00
Josh Oliver,TE,24,14,1,15.6,,OlivJo00
Andre Roberts,WR,33,16,3,8.4,,RobeAn00
Johnny Stanton,FB,27,4,0,9.2,,StanJo02
Jonathan Ward,RB,24,13,0,9.7,,WardJo00
Dede Westbrook,WR,28,15,2,16.8,,WestDe00
C.J. Board,WR,28,6,0,9.7,,BoarC.00
Mike Boone,RB,26,8,0,7.7,,BoonMi00
Ja'Marcus Bradley,WR,25,5,0,10.4,,BradJa01
Alex Erickson,WR,29,17,0,8.5,,EricAl01
Luke Farrell,TE,24,15,1,12.6,,FarrLu00
Penny Hart,WR,25,17,0,12.9,,HartPe01
Dax Milne,WR,22,13,1,15.4,,MilnDa00
Jason Moore,WR,26,2,0,8.6,,MoorJa02
Brandon Powell,WR,26,6,0,6.0,,PoweBr00
Amari Rodgers,WR,22,16,2,9.6,,RodgAm00
Ito Smith,RB,26,1,0,6.4,,SmitIt00
Trayveon Williams,RB,24,5,0,6.5,,WillTr06
Jaelon Darden,WR,22,9,0,11.4,,DardJa00
Will Fuller,WR,27,2,0,8.6,,FullWi01
Jason Huntley,RB,23,1,0,5.1,,HuntJa01
Tre' McKitty,TE,22,11,0,10.5,,McKiTr00
Wendell Smallwood,RB,27,3,0,8.7,,SmalWe00
Rodney Smith,RB,25,2,0,9.8,,SmitRo08
Mike Thomas,WR,27,12,0,10.2,,ThomMi04
