,,,Game,Fumb,Fant,Fant,-additional
Player,FantPos,Age,G,Fmb,PPR,VBD,-9999
,,,,,,,-9999
Rashaad Penny,RB,27,3,0,4.8,,PennRa00
Jack Stoll,TE,25,17,0,8.8,,StolJa00
Ke'Shawn Vaughn,RB,26,6,0,6.4,,VaugKe00
Khari Blasingame,FB,27,16,0,5.8,,BlasKh00
Keelan Doss,WR,27,5,0,9.3,,DossKe00
Greg Dulcich,TE,23,2,0,5.5,,DulcGr00
Devin Duvernay,WR,26,13,0,7.3,,DuveDe00
Derrick Gore,RB,29,6,0,2.6,,GoreDe00
C.J. Ham*,FB,30,17,0,10.2,,HamxC.00
Julian Hill,TE,23,15,1,8.8,,HillJu02
Trishton Jackson,WR,25,7,0,4.9,,JackTr02
James Mitchell,TE,24,15,0,4.8,,MitcJa00
Jalen Nailor,WR,24,6,0,5.9,,NailJa00
Teagan Quitoriano,TE,23,7,0,5.3,,QuitTe00
Cooper Rush,QB,30,7,0,3.3,,RushCo00
Steven Sims,WR,26,3,0,5.6,,SimsSt00
Keith Smith,FB,31,13,0,6.3,,SmitKe03
Sean Tucker,RB,22,11,0,5.2,,TuckSe00
Malik Willis,QB,24,3,1,3.1,,WillMa12
Charlie Woerner,TE,26,17,0,6.2,,WoerCh00
Kenny Yeboah,TE,25,5,0,4.8,,YeboKe00
Nate Adkins,TE,24,10,0,6.2,,AdkiNa00
Kayshon Boutte,WR,21,5,0,3.9,,BoutKa00
Miles Boykin,WR,27,17,0,4.7,,BoykMi00
DeeJay Dallas,RB,25,17,2,8.2,,DallDe00
Tyrion Davis-Price,RB,23,1,0,2.1,,DaviTy03
Elijah Dotson,RB,24,4,0,3.9,,DotsEl00
Zach Evans,RB,22,10,0,1.9,,EvanZa00
Erik Ezukanma,WR,23,2,0,2.2,,EzukEr00
Jake Funk,RB,25,4,0,3.2,,FunkJa00
Jaren Hall,QB,25,3,2,2.1,,HallJa00
Marvin Jones,WR,33,6,1,6.5,,JoneMa02
Zonovan Knight,RB,22,2,0,3.1,,KnigZo00
Chris Manhertz,TE,31,16,0,3.6,,ManhCh00
Nick Muse,TE,25,2,0,3.2,,MuseNi00
Gunner Olszewski,WR,27,12,4,3.0,,OlszGu00
Zach Pascal,WR,29,14,0,5.9,,PascZa00
Laquon Treadwell,WR,28,5,0,2.6,,TreaLa00
Trevon Wesco,TE,28,15,0,3.1,,WescTr00
Mike White,QB,28,6,1,2.1,,WhitMi01
Alex Armah,RB,29,8,0,4.3,,ArmaAl00
Sean Clifford,QB,25,2,1,1.3,,ClifSe00
Jashaun Corbin,RB,23,6,0,4.3,,CorbJa01
Kenyan Drake,RB,29,3,1,3.1,,DrakKe00
Ross Dwelley,TE,28,12,0,2.2,,DwelRo00
D'Wayne Eskridge,WR,26,4,0,0.5,,EskrDW00
Chris Evans,RB,26,8,0,2.1,,EvanCh02
Tucker Fisk,TE,24,6,0,1.9,,FiskTu00
John FitzPatrick,TE,23,9,0,2.2,,FitzJo00
Cole Fotheringham,TE,26,2,0,1.6,,FothCo00
Evan Hull,RB,23,1,0,1.7,,HullEv00
Collin Johnson,WR,26,3,0,2.1,,JohnCo01
Jakob Johnson,FB,29,13,0,2.2,,JohnJa12
Mason Kinsey,WR,25,6,0,1.6,,KinsMa00
A.J. McCarron,QB,33,2,0,0.8,,McCaA.00
Anthony McFarland Jr.,RB,25,3,0,3.1,,McFaAn00
Kene Nwangwu,RB,25,9,0,1.3,,NwanKe00
Devine Ozigbo,RB,27,3,0,2.3,,OzigDe01
Kevin Rader,TE,28,14,0,1.6,,RadeKe00
Eric Saubert,TE,29,10,0,4.2,,SaubEr00
Willie Snead,WR,31,4,0,3.4,,SneaWi00
Malik Taylor,WR,28,3,0,3.3,,TaylMa01
Cody Thompson,WR,27,7,0,2.0,,ThomCo04
Austin Trammell,WR,25,16,3,4.9,,TramAu00
Jonathan Ward,RB,26,7,0,1.1,,WardJo00
Devon Allen,WR,29,2,0,,,AlleDe02
Stephen Anderson,TE,30,3,0,,,AndeSt01
Andre Baccellia,WR,26,5,0,,,BaccAn00
Michael Bandy,WR,26,1,0,,,BandMi00
Matt Barkley,QB,33,1,0,-0.3,,BarkMa00
Nick Bellore*,FB,34,16,0,,,BellNi01
Chris Blair,WR,26,1,0,,,BlaiCh00
Teddy Bridgewater,QB,31,1,0,-0.2,,BridTe00
Matt Bushman,TE,28,1,0,,,BushMa00
Terrell Bynum,WR,25,1,0,,,BynuTe00
Damiere Byrd,WR,30,1,0,,,ByrdDa00
Jason Cabinda,FB,27,4,0,,,CabiJa00
Marquez Callaway,WR,25,3,0,,,CallMa01
Stephen Carlson,TE,27,1,0,,,CarlSt00
Irvin Charles,WR,26,12,0,,,CharIr00
Julius Chestnut,RB,23,3,0,,,ChesJu00
Dan Chisena,WR,26,4,0,,,ChisDa00
Corey Clement,RB,29,3,0,,,ClemCo00
Tanner Conner,TE,25,3,0,,,ConnTa00
Malik Cunningham,QB,25,2,0,,,CunnMa00
Darrell Daniels,TE,29,3,0,,,DaniDa02
Frank Darby,WR,26,1,0,,,DarbFr00
Jaelon Darden,WR,24,1,0,,,DardJa00
Malik Davis,RB,25,3,0,,,DaviMa02
Phillip Dorsett,WR,30,2,0,,,DorsPh00
Colton Dowell,WR,24,10,0,1.3,,DoweCo00
Dylan Drummond,WR,23,1,0,,,DrumDy00
Sam Ehlinger,QB,25,1,0,,,EhliSa00
Princeton Fant,TE,24,2,0,,,FantPr00
Ethan Fernea,WR,25,3,0,,,FernEt00
Anthony Firkser,TE,28,2,0,,,FirkAn00
Dez Fitzpatrick,WR,26,1,0,,,FitzDe00
Myles Gaskin,RB,26,3,0,,,GaskMy00
Zach Gentry,TE,27,1,0,,,GentZa00
Reggie Gilliam,FB,26,17,0,1.3,,GillRe00
Antoine Green,WR,24,9,0,1.2,,GreeAn00
Jacob Harris,WR,26,2,0,,,HarrJa03
N'Keal Harry,WR,26,9,0,,,HarrNK00
Jamycal Hasty,RB,27,5,0,,,HastJa02
Parker Hesse,TE,28,3,0,,,HessPa00
J.P. Holtz,TE,30,1,0,,,HoltJ.01
Travis Homer,RB,25,16,0,,,HomeTr00
Jesper Horsted,TE,26,13,0,1.4,,HorsJe00
Mohamed Ibrahim,RB,25,1,0,,,IbraMo00
Godwin Igwebuike,RB,29,12,0,,,IgweGo00
Andy Isabella,WR,27,2,0,,,IsabAn00
Kearis Jackson,WR,24,2,0,,,JackKe02
Lucky Jackson,WR,26,3,0,,,JackLu00
Shedrick Jackson,WR,24,5,0,,,JackSh01
Tyree Jackson,TE,26,2,0,,,JackTy01
Johnny Johnson,WR,24,1,0,,,JohnJo12
Hunter Kampmoyer,TE,25,1,0,,,KampHu00
Dalton Keene,TE,24,1,0,,,KeenDa00
Tyler Kroft,TE,31,8,0,,,KrofTy00
Zack Kuntz,TE,24,1,0,,,KuntZa00
Kwamie Lassiter II,WR,25,1,0,1.2,,LassKw00
Hunter Long,TE,25,4,0,,,LongHu00
Tay Martin,WR,26,1,0,,,MartTa00
Ben Mason,FB,24,1,0,,,MasoBe00
Jordan Matthews,TE,31,1,0,,,MattJo00
Kenny McIntosh,RB,23,3,0,,,McInKe00
Sean McKeon,TE,26,9,0,,,McKeSe01
Tre' McKitty,TE,24,6,0,,,McKiTr00
Jeremy McNichols,RB,28,3,0,,,McNiJe00
Kirk Merritt,WR,26,1,0,,,MerrKi00
Ryan Miller,WR,23,1,0,,,MillRy01
Jordan Mims,RB,24,2,0,,,MimsJo00
Stanley Morgan Jr.,WR,27,3,0,,,MorgSt02
Albert Okwuegbunam,TE,25,4,0,,,OkwuAl00
Qadree Ollison,RB,27,2,0,,,OlliQa00
Henry Pearson,FB,24,2,0,,,PearHe00
Josh Pederson,TE,26,3,0,,,PedeJo00
Nathan Peterman,QB,29,2,1,-0.4,,PeteNa00
Adam Prentice,FB,26,13,1,2.4,,PrenAd00
Deneric Prince,RB,23,2,0,,,PrinDe00
Giovanni Ricci,FB,27,5,0,1.2,,RiccGi00
James Robinson,RB,25,1,0,1.0,,RobiJa00
Aaron Rodgers,QB,40,1,0,,,RodgAa00
Amari Rodgers,WR,24,3,0,,,RodgAm00
Brady Russell,TE,25,15,0,,,RussBr00
David Sills,WR,27,3,0,,,SillDa01
Matthew Slater,WR,38,16,0,,,SlatMa00
Tre'Quan Smith,WR,27,1,0,,,SmitTr03
Matt Sokol,TE,28,3,0,,,SokoMa00
SaRodorick Thompson,RB,24,1,0,,,ThomSa00
Mitchell Tinsley,WR,24,2,0,,,TinsMi00
Noah Togiai,TE,26,1,0,,,TogiNo00
Kyle Trask,QB,25,2,0,-0.1,,TrasKy00
DJ Turner,WR,26,10,0,,,TurnDJ00
Xazavian Valladay,RB,25,1,0,,,VallXa00
Nick Vannett,TE,30,8,0,1.3,,VannNi00
Travis Vokolek,TE,25,2,0,,,VokoTr00
Dwayne Washington,RB,29,13,0,,,WashDw00
Montrell Washington,WR,24,6,2,,,WashMo00
Blake Whiteheart,TE,23,2,0,,,WhitBl01
Kristian Wilkerson,WR,26,2,0,,,WilkKr00
Brayden Willis,TE,24,7,0,,,WillBr06
Jonathan Williams,RB,29,1,0,-0.2,,WillJo07
Rodney Williams,TE,25,13,0,,,WillRo08
Juwann Winfree,WR,27,8,0,,,WinfJu00
Easop Winston,WR,27,1,0,,,WinsEa00
Logan Woodside,QB,28,1,0,-0.3,,WoodLo00
Owen Wright,RB,24,1,0,,,WrigOw00
Dareke Young,WR,24,6,0,,,YounDa02
Kyle Allen,QB,27,7,0,-1.3,,AlleKy00
Deon Jackson,RB,24,4,2,4.0,,JackDe02
David Wells,TE,28,5,1,1.0,,WellDa00
James Proche,WR,27,10,1,-2.0,,ProcJa00
Trent Taylor,WR,29,17,2,-2.2,,TaylTr02
