,,,Game,Fumb,Fant,Fant,-additional
Dwayne Harris,WR,31,15,2,17.2,,HarrDw00
Tommylee Lewis,WR,26,7,1,14.0,,LewiTo00
Chris Manhertz,TE,26,16,0,13.2,,ManhCh00
Keith Ford,RB,24,2,0,13.0,,FordKe00
John Kelly,RB,22,4,0,12.1,,KellJo00
Niles Paul,WR,29,6,0,19.5,,PaulNi00
Eli Rogers,WR,26,3,1,21.5,,RogeEl00
Jeremy Sprinkle,TE,24,16,0,15.1,,SpriJe00
De'Anthony Thomas,RB,25,5,1,12.5,,ThomDe05
Darren Waller,TE,26,4,0,15.6,,WallDa01
DeAndre Washington,RB,25,10,1,11.4,,WashDe00
Charcandrick West,RB,27,3,0,11.6,,WestCh01
Jake Butt,TE,23,3,0,16.5,,ButtJa00
D'Onta Foreman,RB,22,1,1,10.7,,ForeDO00
Devonta Freeman,RB,26,2,0,14.1,,FreeDe00
C.J. Ham,FB,25,15,0,20.3,,HamxC.00
Dontrell Hilliard,RB,23,11,0,17.5,,HillDo00
Kevin White,WR,26,9,0,13.2,,WhitKe00
Luke Willson,TE,28,14,0,21.7,,WillLu00
Cameron Batson,WR,23,11,1,16.3,,BatsCa00
Corey Coleman,WR,24,8,0,12.6,,ColeCo00
Tyler Conklin,TE,23,16,0,12.7,,ConkTy00
Matt Lengel,TE,28,11,0,10.7,,LengMa00
Elijhaa Penny,RB,25,14,0,15.5,,PennEl00
Logan Thomas,TE,27,12,0,20.3,,ThomLo00
Mark Walton,RB,21,14,0,12.5,,WaltMa00
Derek Anderson,QB,35,2,3,6.5,,AndeDe00
Kenjon Barner,RB,29,9,1,8.4,,BarnKe00
Blake Bell,TE,27,10,0,14.7,,BellBl00
Teddy Bridgewater,QB,26,5,0,7.2,,BridTe00
Patrick DiMarco,FB,29,16,0,10.1,,DiMaPa00
Jermaine Gresham,TE,30,13,1,16.4,,GresJe00
Xavier Grimble,TE,26,16,1,12.6,,GrimXa00
Detrez Newsome,RB,24,9,0,8.8,,NewsDe00
Joshua Perkins,TE,25,9,0,11.7,,PerkJo02
Eric Tomlinson,TE,26,15,0,15.2,,TomlEr01
Russell Gage,WR,22,15,0,12.3,,GageRu00
David Grinnage,TE,24,4,0,12.1,,GrinDa00
Ryan Hewitt,RB,27,12,0,7.1,,HewiRy00
JJ Nelson,WR,26,14,0,13.4,,NelsJJ00
Derrick Willies,WR,24,5,1,9.1,,WillDe06
Kamar Aiken,WR,29,5,0,11.3,,AikeKa00
Antony Auclair,TE,25,16,0,11.8,,AuclAn00
Mike Boone,RB,23,8,0,6.8,,BoonMi00
Noah Brown,WR,22,8,0,10.4,,BrowNo00
Rico Gathers,TE,24,15,0,7.5,,GathRi00
Shelton Gibson,WR,24,15,0,5.8,,GibsSh00
Jacob Hollister,TE,25,8,0,9.2,,HollJa03
DeShone Kizer,QB,22,3,1,5.4,,KizeDe00
Eric Saubert,TE,24,16,0,9.8,,SaubEr00
Durham Smythe,TE,23,15,0,11.0,,SmytDu00
Neal Sterling,WR,26,5,0,10.7,,SterNe00
Nate Sudfeld,QB,25,2,0,4.7,,SudfNa00
Roc Thomas,RB,23,5,0,7.1,,ThomRo05
Delanie Walker,TE,34,1,0,9.2,,WalkHu00
Bobo Wilson,WR,23,5,0,9.2,,WilsJe00
Chad Beebe,WR,24,3,0,7.9,,BeebCh00
Tommy Bohanon,FB,28,16,0,10.1,,BohaTo00
Ben Braunecker,TE,24,15,0,7.2,,BrauBe00
Jawill Davis,WR,23,7,0,8.0,,DaviJa07
Tyler Ervin,RB,25,9,1,6.5,,ErviTy00
Jordan Franks,TE,22,6,0,5.7,,FranJo03
Rashad Greene,WR,26,8,2,10.0,,GreeRa00
Tyler Kroft,TE,26,5,0,7.6,,KrofTy00
Marcedes Lewis,TE,34,16,0,6.9,,LewiMa00
T.J. Logan,FB,24,10,0,10.9,,LogaT.00
Tre Madden,RB,25,14,0,5.8,,MaddTr01
Byron Marshall,RB,24,6,0,7.9,,MarsBy01
David Morgan,TE,25,11,0,8.6,,MorgDa01
Roosevelt Nix,RB,26,16,0,8.2,,NixxRo01
Samaje Perine,RB,23,5,0,6.7,,PeriSa00
John Phillips,TE,31,8,0,6.8,,PhilJo00
Auden Tate,WR,21,7,0,7.5,,TateAu00
Jalen Tolliver,WR,23,3,0,6.7,,TollJa00
David Williams,RB,24,6,0,3.6,,WillDa011
Dwayne Allen,TE,28,13,0,5.7,,AlleDw00
Benny Cunningham,RB,28,15,0,3.9,,CunnBe01
Mike Gillislee,RB,28,4,1,4.2,,GillMi00
Jeremy Hill,RB,26,1,0,4.1,,HillJe01
Jeremy Langford,RB,27,1,0,2.5,,LangJe00
Brian Parker,TE,26,13,0,8.3,,ParkBr00
Charone Peake,WR,26,13,0,4.5,,PeakCh00
