,,,Game,Fumb,Fant,Fant,-additional
Joshua Perkins,TE,23,8,0,13.2,,PerkJo02
Jeremy Ross,WR,28,6,0,13.7,,RossJe01
Antone Smith,RB,31,3,2,16.4,,SmitAn01
James Wright,WR,25,13,0,23.0,,WrigJa03
George Atkinson,RB,24,16,1,9.4,,AtkiGe01
Blake Bell,TE,25,13,0,12.5,,BellBl00
Leonte Carroo,WR,22,14,0,11.9,,CarrLe00
Pharoh Cooper,WR,21,10,0,22.6,,CoopPh00
Gavin Escobar,TE,25,16,0,13.0,,EscoGa00
Mike Glennon,QB,27,2,0,9.0,,GlenMi00
T.J. Jones,WR,24,3,0,14.3,,JoneT.00
Tyler Kroft,TE,24,14,0,19.2,,KrofTy00
Tommylee Lewis,WR,24,12,2,15.7,,LewiTo00
Marcel Reece,WR,31,4,0,14.3,,ReecMa00
Drew Stanton,QB,32,5,0,9.4,,StanDr00
Juwan Thompson,RB,24,8,0,8.6,,ThomJu01
Scott Tolzien,QB,29,3,1,8.9,,TolzSc00
Fitzgerald Toussaint,RB,26,16,0,12.1,,TousFi00
Bryce Treggs,WR,22,9,0,11.7,,TregBr00
Terrell Watson,RB,23,1,0,10.3,,WatsTe00
Derek Watt,RB,24,16,0,12.7,,WattDe00
Charlie Whitehurst,QB,34,1,0,9.4,,WhitCh02
Andre Williams,RB,24,1,0,8.7,,WillAn00
Trevone Boykin,QB,23,5,1,7.9,,BoykTr00
Ryan Grant,WR,26,16,0,16.6,,GranRy01
Connor Hamlett,TE,24,3,0,8.7,,HamlCo01
Rashard Higgins,WR,22,16,0,13.7,,HiggRa00
Cody Latimer,WR,24,12,0,15.6,,LatiCo00
Matt Lengel,TE,26,6,0,10.2,,LengMa00
Geno Smith,QB,26,2,1,7.9,,SmitGe00
Wendall Williams,WR,26,3,0,11.5,,WillWe00
Malcolm Brown,RB,23,16,1,9.5,,BrowMa03
Aaron Burbridge,WR,23,16,1,13.8,,BurbAa00
Michael Campanaro,WR,25,3,0,7.2,,CampMi02
Josh Doctson,WR,24,2,0,8.6,,DoctJo00
Alex Erickson,WR,24,16,3,13.1,,EricAl01
Jerome Felton,RB,30,15,0,13.0,,FeltJe00
Maurice Harris,WR,24,10,1,14.6,,HarrMa05
EJ Manuel,QB,26,6,2,7.4,,ManuEJ00
Byron Marshall,RB,22,3,0,10.4,,MarsBy01
Keith Mumphery,WR,24,11,0,16.9,,MumpKe00
Geoff Swaim,TE,23,9,0,12.9,,SwaiGe00
Keenan Allen,WR,24,1,0,12.3,,AlleKe00
Jace Amaro,TE,24,3,0,8.9,,AmarJa00
Brandon Bostick,TE,27,16,0,14.3,,BostBr00
Connor Cook,QB,23,1,2,6.0,,CookCo00
Trevor Davis,WR,23,11,2,9.4,,DaviTr03
Johnny Holton,WR,26,15,1,7.7,,HoltJo00
Adrian Peterson,RB,31,3,1,9.0,,PeteAd01
Phillip Supernaw,TE,26,15,0,10.2,,SupePh00
De'Anthony Thomas,RB,23,12,0,13.4,,ThomDe05
D.J. Tialavea,TE,25,2,0,7.1,,TialD.00
Nick Williams,WR,26,2,0,10.9,,WillNi02
Javorius Allen,RB,25,8,0,7.9,,AlleJa01
Knile Davis,RB,25,11,0,10.3,,DaviKn00
Dwayne Harris*,WR,29,16,3,6.3,,HarrDw00
Tavarres King,WR,26,7,0,7.0,,KingTa00
Ifeanyi Momah,WR,27,5,0,7.0,,MomaIf00
Troymaine Pope,RB,23,4,0,5.9,,PopeTr00
Tony Romo,QB,36,1,0,5.2,,RomoTo00
Brandon Wilds,RB,23,4,0,6.7,,WildBr01
Nick Boyle,TE,23,6,0,10.4,,BoylNi00
Ben Braunecker,TE,22,13,0,8.1,,BrauBe00
Quan Bray,WR,23,6,0,7.3,,BrayQu00
Jakeem Grant,WR,24,16,4,4.1,,GranJa00
Mike James,RB,25,4,0,8.1,,JameMi00
Taiwan Jones,RB,28,13,0,7.5,,JoneTa00
Daniel Lasco,RB,24,7,0,6.3,,LascDa00
Bradley Marquez,WR,24,14,0,6.9,,MarqBr00
Dexter McCluster,WR,27,6,0,10.8,,McClDe00
Justin Perillo,TE,25,9,0,7.5,,PeriJu00
Brandon Williams,TE,29,16,0,5.6,,WillBr04
D.J. Foster,WR,23,3,0,3.6,,FostD.01
Don Jackson,RB,23,3,0,3.2,,JackDo01
Malcolm Johnson,RB,24,7,1,7.6,,JohnMa06
Sean McGrath,TE,29,16,0,4.5,,McGrSe00
Niles Paul,WR,27,8,0,4.7,,PaulNi00
Isaiah Pead,RB,27,3,0,3.8,,PeadIs00
Keith Smith,FB,24,16,0,5.5,,SmitKe03
Lee Smith,TE,29,4,0,8.9,,SmitLe00
Nick Vannett,TE,23,9,0,6.2,,VannNi00
Danny Vitale,FB,23,9,0,6.7,,VitaDa00
